no,date,red1,red2,red3,red4,red5,red6,blue1
04053,20040708,02,03,04,09,24,25,02
04054,20040711,09,11,14,16,27,28,11
04055,20040715,06,08,19,25,29,32,07
04056,20040718,01,20,21,25,29,30,02
04057,20040722,05,21,23,25,28,32,04
04058,20040725,01,08,11,12,27,31,12
04059,20040729,04,07,11,19,23,26,10
04060,20040801,03,05,11,24,27,28,15
04061,20040805,13,16,19,20,23,33,09
04062,20040808,01,12,25,27,28,29,13
04063,20040812,07,10,13,16,27,28,07
04064,20040815,14,15,18,20,27,31,04
04065,20040819,13,14,27,29,32,33,08
04066,20040822,05,13,20,23,24,25,03
04067,20040824,01,06,07,13,16,32,04
04068,20040826,02,08,11,13,24,31,15
04069,20040829,02,11,15,20,22,29,05
04070,20040831,10,12,21,22,30,33,06
04071,20040902,03,08,16,17,21,29,06
04072,20040905,08,15,18,28,30,33,14
04073,20040907,02,07,13,16,23,28,16
04074,20040909,05,06,15,19,26,29,13
04075,20040912,07,18,21,26,27,28,07
04076,20040914,03,05,13,17,25,31,07
04077,20040916,08,09,10,14,16,26,07
04078,20040919,04,05,10,21,24,26,05
04079,20040921,07,13,14,17,19,30,03
04080,20040923,03,08,20,23,24,26,16
04081,20040926,03,05,21,24,27,32,06
04082,20040928,03,20,24,27,29,30,15
04083,20040930,14,16,27,28,30,33,06
04084,20041003,01,04,08,11,21,25,14
04085,20041005,03,08,11,29,30,32,01
04086,20041007,10,13,18,19,25,27,01
04087,20041010,01,03,07,08,25,26,14
04088,20041012,02,10,19,22,24,32,14
04089,20041014,14,17,20,25,28,30,14
04090,20041017,01,18,20,24,32,33,12
04091,20041019,09,13,14,21,30,33,01
04092,20041021,01,04,08,13,28,31,02
04093,20041024,11,14,20,27,32,33,05
04094,20041026,05,09,10,13,24,25,08
04095,20041028,19,22,27,28,30,32,01
04096,20041031,01,04,12,16,20,30,15
04097,20041102,10,19,20,26,29,31,14
04098,20041104,03,12,13,25,26,31,03
04099,20041107,05,10,21,22,26,33,02
04100,20041109,06,08,09,14,24,33,15
04101,20041111,02,09,14,19,25,26,15
04102,20041114,03,09,12,15,28,32,01
04103,20041116,02,03,05,09,16,21,02
04104,20041118,07,11,17,18,24,29,05
04105,20041121,07,09,10,21,23,30,12
04106,20041123,10,15,23,26,28,29,12
04107,20041125,01,08,12,13,18,20,07
04108,20041128,08,13,14,27,28,31,12
04109,20041130,06,08,10,17,30,31,14
04110,20041202,14,19,20,21,22,31,11
04111,20041205,11,16,18,20,26,31,02
04112,20041207,09,13,15,21,26,33,06
04113,20041210,08,10,23,25,31,32,07
04114,20041213,01,06,09,17,21,22,01
04115,20041214,02,16,20,30,31,33,01
04116,20041216,01,03,05,08,14,33,03
04117,20041219,01,03,07,14,24,25,07
04118,20041221,03,04,07,12,30,31,15
04119,20041223,06,09,18,20,25,33,06
04120,20041226,07,08,18,21,27,32,10
04121,20041228,07,13,16,18,30,32,10
04122,20041230,03,11,14,22,24,31,15
05001,20050102,01,07,08,23,27,28,14
05002,20050104,06,09,20,26,28,33,14
05003,20050106,09,12,15,19,22,31,16
05004,20050109,01,04,08,09,22,23,03
05005,20050111,05,09,20,26,28,33,15
05006,20050113,02,04,05,15,21,31,16
05007,20050116,07,15,17,20,23,33,15
05008,20050118,11,19,22,27,32,33,11
05009,20050120,02,17,22,27,29,31,14
05010,20050123,08,10,11,18,25,26,01
05011,20050125,09,11,13,15,22,30,15
05012,20050127,02,03,06,16,22,31,05
05013,20050130,07,08,16,19,20,24,06
05014,20050201,13,19,21,23,30,32,05
05015,20050203,04,08,09,16,17,29,15
05016,20050206,01,05,06,12,16,30,15
05017,20050216,02,06,10,25,27,31,03
05018,20050217,01,03,06,22,23,25,06
05019,20050220,06,11,12,13,19,22,08
05020,20050222,14,16,19,20,25,29,05
05021,20050224,02,06,24,26,30,31,16
05022,20050227,08,10,12,21,32,33,04
05023,20050301,10,15,19,20,21,25,12
05024,20050303,05,09,14,27,31,32,13
05025,20050306,01,07,10,11,13,32,07
05026,20050308,06,12,14,20,25,26,07
05027,20050310,01,03,04,06,21,32,15
05028,20050313,04,09,22,25,26,32,10
05029,20050315,02,14,21,22,27,30,14
05030,20050317,01,05,09,14,22,28,05
05031,20050320,04,10,16,20,23,32,07
05032,20050322,05,15,19,20,25,29,03
05033,20050324,07,08,12,14,19,20,07
05034,20050327,05,17,18,25,28,32,09
05035,20050329,12,16,21,28,29,30,14
05036,20050331,12,19,20,21,26,31,15
05037,20050403,07,12,14,22,24,32,16
05038,20050405,04,07,11,20,27,28,16
05039,20050407,02,16,18,19,21,29,09
05040,20050410,01,12,21,24,30,32,13
05041,20050412,02,11,16,23,24,29,03
05042,20050414,11,16,21,26,27,30,15
05043,20050417,04,05,06,07,08,32,05
05044,20050419,01,06,16,17,18,22,09
05045,20050421,01,07,10,15,18,20,10
05046,20050424,09,16,18,20,22,24,05
05047,20050426,02,03,05,07,08,27,15
05048,20050428,06,07,08,10,16,28,02
05049,20050501,02,03,08,10,25,27,12
05050,20050503,02,09,12,20,26,32,13
05051,20050505,03,06,14,19,20,21,02
05052,20050508,01,02,14,17,30,32,01
05053,20050510,04,07,10,14,27,29,09
05054,20050512,05,13,17,18,21,29,14
05055,20050515,05,20,22,30,32,33,09
05056,20050517,12,17,19,27,29,31,09
05057,20050519,05,06,10,15,30,31,13
05058,20050522,04,06,10,21,25,26,10
05059,20050524,07,11,14,18,24,29,07
05060,20050526,09,12,21,25,31,33,13
05061,20050529,05,09,14,21,23,24,01
05062,20050531,02,07,11,12,20,23,07
05063,20050602,02,11,13,18,22,30,04
05064,20050605,10,18,23,27,30,32,08
05065,20050607,12,16,17,21,22,23,16
05066,20050609,02,04,10,11,25,28,05
05067,20050612,03,12,16,20,21,26,16
05068,20050614,01,08,10,13,25,33,13
05069,20050616,07,09,21,24,31,33,12
05070,20050619,03,04,08,14,16,26,04
05071,20050621,04,08,12,14,16,22,10
05072,20050623,06,10,19,20,24,33,11
05073,20050626,01,06,08,09,18,20,01
05074,20050628,06,09,18,20,26,29,09
05075,20050630,11,13,14,16,18,31,14
05076,20050703,04,09,11,22,25,28,13
05077,20050705,08,17,22,24,32,33,16
05078,20050707,03,11,15,20,26,32,11
05079,20050710,03,09,20,24,25,28,05
05080,20050712,01,12,14,26,27,32,16
05081,20050714,02,04,10,12,26,30,03
05082,20050717,01,07,11,14,19,20,12
05083,20050719,03,05,09,14,16,30,13
05084,20050721,01,02,07,15,19,20,03
05085,20050724,08,09,13,14,20,22,12
05086,20050726,07,11,12,24,27,29,12
05087,20050728,08,09,15,16,23,26,08
05088,20050731,01,03,07,18,20,24,07
05089,20050802,05,19,20,23,26,31,12
05090,20050804,01,09,21,25,29,32,03
05091,20050807,01,11,12,15,26,27,13
05092,20050809,08,13,19,26,28,31,10
05093,20050811,04,06,17,23,25,29,14
05094,20050814,03,05,09,23,27,33,03
05095,20050816,09,12,18,21,28,29,05
05096,20050818,04,05,17,18,26,33,04
05097,20050821,05,10,23,27,28,30,15
05098,20050823,12,15,19,22,31,33,01
05099,20050825,10,13,16,22,24,31,09
05100,20050828,02,04,09,14,16,31,03
05101,20050830,09,16,19,21,22,24,12
05102,20050901,02,05,06,14,24,31,12
05103,20050904,04,07,16,18,23,30,07
05104,20050906,02,04,21,23,30,33,09
05105,20050908,04,15,23,30,32,33,03
05106,20050911,01,11,13,24,26,31,13
05107,20050913,09,10,20,24,25,26,11
05108,20050915,03,10,12,24,29,30,06
05109,20050918,03,05,13,15,17,31,04
05110,20050920,07,10,16,19,24,25,09
05111,20050922,03,07,15,16,19,29,09
05112,20050925,04,12,22,28,29,30,16
05113,20050927,15,18,20,22,26,27,03
05114,20050929,06,07,10,15,21,27,06
05115,20051002,03,12,18,23,30,33,02
05116,20051004,04,06,08,14,15,30,10
05117,20051006,06,17,22,27,28,32,03
05118,20051009,04,09,12,15,26,31,16
05119,20051011,01,07,11,18,20,22,02
05120,20051013,01,06,13,18,30,32,14
05121,20051016,01,07,20,25,31,32,12
05122,20051018,01,04,07,14,30,32,09
05123,20051020,11,12,13,17,18,25,07
05124,20051023,05,06,10,19,31,33,11
05125,20051025,06,14,18,28,31,32,03
05126,20051027,02,08,13,19,25,26,09
05127,20051030,04,06,11,14,23,25,12
05128,20051101,02,04,14,23,29,33,15
05129,20051103,05,10,14,20,27,33,03
05130,20051106,03,05,09,15,20,25,16
05131,20051108,02,07,10,11,12,24,03
05132,20051110,02,04,10,18,27,29,15
05133,20051113,01,07,14,16,18,25,11
05134,20051115,04,13,14,18,26,30,01
05135,20051117,01,05,13,15,21,25,11
05136,20051120,05,14,16,18,25,27,13
05137,20051122,03,09,15,23,25,33,12
05138,20051124,03,05,06,11,20,22,13
05139,20051127,02,07,20,23,32,33,10
05140,20051129,04,06,07,08,12,17,07
05141,20051201,03,05,08,12,16,19,15
05142,20051204,07,10,12,17,22,29,05
05143,20051206,03,10,15,17,20,32,08
05144,20051208,01,08,14,15,19,27,09
05145,20051211,03,07,08,17,20,28,15
05146,20051213,07,11,19,20,24,28,02
05147,20051215,06,07,15,27,28,30,10
05148,20051218,03,15,17,23,24,29,13
05149,20051220,11,16,21,23,25,32,07
05150,20051222,03,07,10,14,18,20,02
05151,20051225,04,11,12,13,19,30,05
05152,20051227,01,05,12,14,21,27,03
05153,20051229,04,05,07,21,26,29,01
06001,20060101,01,12,15,19,21,28,03
06002,20060103,07,13,16,21,26,28,09
06003,20060105,02,04,05,06,16,20,12
06004,20060108,04,08,17,27,28,31,07
06005,20060110,03,19,20,24,26,27,11
06006,20060112,08,21,22,23,26,32,14
06007,20060115,04,16,18,27,32,33,07
06008,20060117,03,05,09,18,28,32,16
06009,20060119,05,06,08,20,26,30,06
06010,20060122,04,06,12,19,27,29,08
06011,20060124,05,07,08,14,27,31,11
06012,20060126,09,11,13,27,31,33,10
06013,20060205,01,05,06,12,16,21,11
06014,20060207,06,14,26,29,32,33,07
06015,20060209,02,03,09,15,29,32,03
06016,20060212,01,07,13,17,23,30,16
06017,20060214,03,04,08,31,32,33,02
06018,20060216,01,13,14,17,24,26,05
06019,20060219,04,06,13,22,26,32,07
06020,20060221,05,09,21,23,26,29,06
06021,20060223,01,02,05,20,21,22,09
06022,20060226,02,03,04,13,16,27,13
06023,20060228,04,13,14,19,23,28,08
06024,20060302,02,07,09,11,21,27,06
06025,20060305,03,04,17,19,24,32,05
06026,20060307,01,02,18,22,29,32,03
06027,20060309,06,08,11,14,16,27,15
06028,20060312,05,07,14,16,17,27,04
06029,20060314,03,04,07,09,14,19,08
06030,20060316,08,13,15,17,20,32,14
06031,20060319,03,10,12,16,31,32,14
06032,20060321,05,18,20,24,26,31,09
06033,20060323,15,20,22,23,27,31,06
06034,20060326,02,10,15,16,17,33,13
06035,20060328,03,09,13,21,27,29,13
06036,20060330,04,07,10,16,17,21,09
06037,20060402,02,12,23,24,25,32,14
06038,20060404,02,14,17,19,22,30,10
06039,20060406,16,19,22,28,31,32,03
06040,20060409,15,22,25,26,28,33,03
06041,20060411,03,10,16,18,21,28,04
06042,20060413,03,16,23,26,28,31,11
06043,20060416,05,12,13,16,23,32,03
06044,20060418,02,10,18,21,30,31,05
06045,20060420,06,07,10,14,20,21,04
06046,20060423,13,18,23,29,31,32,08
06047,20060425,02,17,20,22,28,32,03
06048,20060427,09,13,19,25,29,32,12
06049,20060430,06,10,12,13,17,20,03
06050,20060502,02,06,12,15,25,31,07
06051,20060504,02,06,07,17,27,30,16
06052,20060507,11,24,26,27,30,32,03
06053,20060509,01,11,17,27,28,31,02
06054,20060511,03,05,07,10,28,30,04
06055,20060514,04,05,28,29,31,33,11
06056,20060516,11,13,15,21,23,25,08
06057,20060518,03,04,17,18,21,31,08
06058,20060521,01,12,22,23,24,25,14
06059,20060523,05,10,15,17,27,29,11
06060,20060525,05,15,19,23,30,32,14
06061,20060528,05,13,17,19,25,30,11
06062,20060530,18,22,23,24,26,30,01
06063,20060601,04,05,15,21,23,24,08
06064,20060604,03,12,14,21,24,28,11
06065,20060606,04,08,17,28,29,30,13
06066,20060608,06,08,11,18,30,33,05
06067,20060611,07,08,11,16,17,24,13
06068,20060613,03,07,10,14,30,33,10
06069,20060615,05,16,20,22,29,30,08
06070,20060618,02,03,11,13,20,27,02
06071,20060620,05,11,12,19,29,31,01
06072,20060622,02,03,05,20,21,24,08
06073,20060625,05,13,16,18,27,29,12
06074,20060627,01,03,15,19,25,33,04
06075,20060629,10,21,22,23,25,33,11
06076,20060702,04,10,17,21,29,32,14
06077,20060704,08,09,12,13,19,33,09
06078,20060706,03,05,17,22,31,33,12
06079,20060709,06,11,13,17,20,32,08
06080,20060711,15,17,20,22,26,29,09
06081,20060713,14,16,18,21,22,32,04
06082,20060716,03,13,15,23,28,29,09
06083,20060718,07,09,18,19,26,29,10
06084,20060721,01,12,17,21,25,28,12
06085,20060723,02,06,18,21,24,25,08
06086,20060725,04,06,10,24,26,31,06
06087,20060727,04,05,08,09,12,30,05
06088,20060730,03,11,20,24,25,26,01
06089,20060801,01,13,16,18,19,22,01
06090,20060803,02,11,15,20,23,29,11
06091,20060806,07,08,12,21,22,24,07
06092,20060808,02,08,11,16,20,21,14
06093,20060810,02,12,16,18,19,23,05
06094,20060813,15,16,17,18,24,33,13
06095,20060815,01,03,17,20,21,29,16
06096,20060817,01,05,09,13,18,33,14
06097,20060820,11,14,15,20,26,27,12
06098,20060822,06,07,10,11,18,23,16
06099,20060824,09,12,18,23,24,27,05
06100,20060827,01,11,18,26,30,32,03
06101,20060829,09,12,20,26,27,28,16
06102,20060831,01,04,13,19,20,24,11
06103,20060903,12,14,15,25,28,31,06
06104,20060905,03,07,22,27,28,31,11
06105,20060907,05,12,14,15,20,31,01
06106,20060910,02,12,14,19,28,33,10
06107,20060912,01,06,08,13,17,30,07
06108,20060914,02,06,08,20,24,30,09
06109,20060917,01,05,17,18,23,26,13
06110,20060919,09,12,14,18,27,33,13
06111,20060921,01,08,11,16,17,22,15
06112,20060924,04,09,13,15,31,33,11
06113,20060926,05,14,17,18,28,33,02
06114,20060928,08,10,14,20,27,29,16
06115,20061001,01,10,20,26,28,29,15
06116,20061003,05,16,21,22,32,33,09
06117,20061005,06,14,20,22,23,26,09
06118,20061008,01,03,07,08,10,30,05
06119,20061010,01,02,14,20,27,30,02
06120,20061012,06,08,14,15,24,33,09
06121,20061015,03,04,06,27,31,33,06
06122,20061017,04,05,06,08,22,24,03
06123,20061019,02,03,20,25,28,32,06
06124,20061022,12,13,14,18,31,32,13
06125,20061024,15,19,23,30,32,33,06
06126,20061026,02,08,13,16,24,33,09
06127,20061029,03,04,11,17,19,30,01
06128,20061031,04,15,21,30,31,33,05
06129,20061102,09,14,18,22,27,29,12
06130,20061105,01,12,21,22,30,32,02
06131,20061107,03,04,09,22,26,33,01
06132,20061109,06,14,22,26,30,33,01
06133,20061112,04,06,20,25,29,31,03
06134,20061114,10,13,18,26,28,30,12
06135,20061116,04,19,21,22,23,31,04
06136,20061119,11,15,17,21,22,24,05
06137,20061121,10,14,17,21,27,31,09
06138,20061123,04,09,11,17,18,26,08
06139,20061126,07,08,14,21,23,25,05
06140,20061128,01,08,11,18,19,23,05
06141,20061130,16,18,22,23,25,31,11
06142,20061203,10,16,19,22,26,27,16
06143,20061205,01,15,20,29,31,32,08
06144,20061207,04,10,13,16,22,29,06
06145,20061210,02,07,23,26,28,31,07
06146,20061212,03,09,13,23,28,30,05
06147,20061214,01,04,15,17,27,31,01
06148,20061217,04,08,12,13,23,29,01
06149,20061219,02,03,05,11,15,32,15
06150,20061221,08,09,12,18,25,27,12
06151,20061224,01,03,04,06,16,22,08
06152,20061226,01,14,20,25,27,31,15
06153,20061228,01,07,11,20,30,33,10
06154,20061231,07,14,18,20,30,33,13
07001,20070102,02,04,09,10,20,26,14
07002,20070104,05,06,14,20,21,22,01
07003,20070107,05,09,11,12,22,27,15
07004,20070109,03,07,10,13,25,33,10
07005,20070111,01,05,06,16,24,30,12
07006,20070114,06,10,14,22,26,27,11
07007,20070116,04,12,15,17,22,32,14
07008,20070118,01,04,05,18,19,25,10
07009,20070121,02,04,14,15,25,27,15
07010,20070123,03,08,14,17,30,32,05
07011,20070125,03,10,15,25,28,33,16
07012,20070128,03,05,07,21,26,28,04
07013,20070130,05,15,18,27,29,32,05
07014,20070201,01,13,16,20,24,26,09
07015,20070204,03,04,08,18,22,30,15
07016,20070206,01,18,20,22,26,33,05
07017,20070208,05,09,10,24,25,32,14
07018,20070211,01,12,18,20,21,26,11
07019,20070213,04,11,16,23,29,31,14
07020,20070215,05,10,16,20,28,31,14
07021,20070225,03,06,09,11,25,31,13
07022,20070227,02,04,07,10,18,27,10
07023,20070301,03,07,13,17,32,33,02
07024,20070304,08,09,17,25,27,32,06
07025,20070306,03,16,18,22,23,26,03
07026,20070308,01,04,14,16,26,29,10
07027,20070311,02,03,09,22,24,27,11
07028,20070313,03,08,13,20,29,30,11
07029,20070315,06,08,09,11,19,21,10
07030,20070318,03,16,21,22,27,30,04
07031,20070320,04,06,10,12,19,31,01
07032,20070322,04,08,16,24,30,32,16
07033,20070325,03,04,11,17,18,28,09
07034,20070327,02,09,12,14,23,25,16
07035,20070329,01,04,08,12,29,31,06
07036,20070401,03,14,21,23,30,31,10
07037,20070403,10,11,16,23,31,33,16
07038,20070405,03,11,14,19,21,30,05
07039,20070408,06,07,19,24,27,29,01
07040,20070410,13,14,15,19,24,30,10
07041,20070412,01,03,09,11,26,31,12
07042,20070415,03,13,16,19,32,33,08
07043,20070417,03,08,10,11,14,30,05
07044,20070419,09,13,20,21,24,32,08
07045,20070422,01,12,18,21,28,30,10
07046,20070424,02,06,07,09,19,26,14
07047,20070426,02,04,16,18,23,30,06
07048,20070429,02,11,12,15,17,28,12
07049,20070501,04,14,18,19,31,33,02
07050,20070503,01,05,08,13,18,25,02
07051,20070506,03,14,16,26,27,33,13
07052,20070508,02,03,07,08,26,29,07
07053,20070510,10,13,16,17,18,27,11
07054,20070513,01,03,16,18,23,28,05
07055,20070515,02,06,11,22,28,29,02
07056,20070517,14,17,21,29,31,32,12
07057,20070520,05,11,18,19,20,21,09
07058,20070522,07,08,10,13,25,27,07
07059,20070524,01,03,04,06,07,29,14
07060,20070527,01,02,08,16,19,29,05
07061,20070529,01,06,07,11,20,23,05
07062,20070531,08,17,20,29,30,33,09
07063,20070603,10,15,17,24,26,28,12
07064,20070605,02,06,09,16,21,23,16
07065,20070607,04,07,19,21,25,31,07
07066,20070610,05,11,16,24,32,33,08
07067,20070612,06,11,13,17,21,23,11
07068,20070614,11,18,19,22,23,28,01
07069,20070617,03,04,11,12,14,32,12
07070,20070619,06,08,15,17,18,30,12
07071,20070621,01,06,14,21,30,31,09
07072,20070624,02,04,08,13,14,33,16
07073,20070626,05,09,11,19,28,31,02
07074,20070628,08,13,15,25,27,28,03
07075,20070701,13,16,17,22,30,32,03
07076,20070703,06,12,15,16,20,31,02
07077,20070705,06,08,14,21,28,29,02
07078,20070708,04,06,07,23,25,32,01
07079,20070710,03,04,14,20,21,25,14
07080,20070712,01,08,16,18,19,29,04
07081,20070715,09,14,15,19,24,33,13
07082,20070717,05,15,17,18,25,32,15
07083,20070719,11,14,18,20,21,26,05
07084,20070722,06,10,12,14,20,27,10
07085,20070724,02,12,17,19,29,30,12
07086,20070726,05,08,14,22,27,29,16
07087,20070729,01,03,04,05,08,21,09
07088,20070731,02,04,10,28,29,33,06
07089,20070802,03,07,08,15,19,28,03
07090,20070805,05,11,13,27,30,31,02
07091,20070807,02,11,17,30,31,32,07
07092,20070809,14,18,22,23,24,33,09
07093,20070812,05,10,13,15,19,29,02
07094,20070814,03,05,18,19,24,32,02
07095,20070816,01,06,08,18,29,32,07
07096,20070819,09,10,20,22,30,32,08
07097,20070821,04,08,13,18,26,30,11
07098,20070823,02,03,05,11,19,20,12
07099,20070826,03,04,14,27,31,33,05
07100,20070828,08,18,27,29,30,32,06
07101,20070830,15,16,18,21,22,30,14
07102,20070902,04,06,08,18,20,33,11
07103,20070904,07,09,25,27,30,32,01
07104,20070906,02,08,12,14,20,32,04
07105,20070909,02,07,10,17,23,29,14
07106,20070911,12,18,21,24,25,29,08
07107,20070913,02,08,09,18,24,28,10
07108,20070916,03,07,12,13,20,33,02
07109,20070918,01,04,07,08,13,14,04
07110,20070920,02,04,07,15,24,28,03
07111,20070923,02,09,10,12,13,17,11
07112,20070925,07,11,14,16,25,32,11
07113,20070927,04,18,23,25,26,31,10
07114,20070930,05,12,15,24,27,33,05
07115,20071002,01,05,10,16,20,26,02
07116,20071004,03,05,07,11,17,27,13
07117,20071007,03,07,09,10,26,32,01
07118,20071009,04,10,16,18,25,32,15
07119,20071011,03,08,11,13,25,31,12
07120,20071014,06,07,11,12,18,25,01
07121,20071016,03,10,21,22,27,28,06
07122,20071018,04,07,19,24,26,32,09
07123,20071021,01,13,15,23,28,32,02
07124,20071023,03,07,13,16,19,32,16
07125,20071025,03,05,18,20,27,33,01
07126,20071028,09,10,19,23,26,31,09
07127,20071030,06,09,13,16,24,28,11
07128,20071101,09,10,19,21,27,31,05
07129,20071104,05,07,20,21,22,30,08
07130,20071106,03,05,09,11,27,31,04
07131,20071108,03,05,07,16,22,27,05
07132,20071111,01,09,16,21,22,23,05
07133,20071113,03,06,07,11,13,33,10
07134,20071115,01,04,10,13,18,25,15
07135,20071118,01,11,16,26,31,33,16
07136,20071120,01,02,18,21,25,29,14
07137,20071122,03,07,08,18,20,22,03
07138,20071125,02,03,15,17,19,25,16
07139,20071127,06,10,12,14,16,22,06
07140,20071129,01,05,16,21,22,26,11
07141,20071202,02,03,04,06,17,31,08
07142,20071204,11,20,25,26,27,30,08
07143,20071206,01,06,22,23,24,26,04
07144,20071209,08,14,23,25,28,32,16
07145,20071211,08,09,11,12,25,31,11
07146,20071213,04,18,22,24,26,30,09
